axis_id,battery,n_cells,axis_mean,axis_sd,min,max,range
mfq2_equality_06,mfq,174,3.3563,1.3641,1.0000,5.0000,4.0000
mfq2_purity_01,mfq,178,3.6854,1.3285,1.0000,5.0000,4.0000
mfq2_proportionality_06,mfq,178,2.7360,1.3118,1.0000,5.0000,4.0000
mfq2_purity_03,mfq,181,2.3812,1.3096,1.0000,5.0000,4.0000
mfq2_care_06,mfq,182,3.8516,1.2896,1.0000,5.0000,4.0000
mfq2_proportionality_03,mfq,180,3.4833,1.2528,1.0000,5.0000,4.0000
mirror_sacred_vs_instrumental_nature,mirror,179,4.0223,1.2450,1.0000,5.0000,4.0000
mfq2_purity_02,mfq,177,3.1356,1.2265,1.0000,5.0000,4.0000
mfq2_equality_01,mfq,536,2.1325,1.2149,1.0000,5.0000,4.0000
mfq2_equality_04,mfq,181,2.3923,1.2137,1.0000,5.0000,4.0000
mfq2_loyalty_03,mfq,181,3.4586,1.2086,1.0000,5.0000,4.0000
mfq2_equality_02,mfq,181,2.3370,1.2075,1.0000,5.0000,4.0000
mfq2_loyalty_06,mfq,179,3.7989,1.2010,1.0000,5.0000,4.0000
mfq2_loyalty_05,mfq,180,3.3222,1.1943,1.0000,5.0000,4.0000
mfq2_authority_06,mfq,180,2.7556,1.1800,1.0000,5.0000,4.0000
mfq2_purity_06,mfq,180,2.3500,1.1698,1.0000,5.0000,4.0000
mfq2_equality_03,mfq,182,2.1044,1.1491,1.0000,5.0000,4.0000
mfq2_loyalty_01,mfq,181,3.0055,1.1426,1.0000,5.0000,4.0000
mfq2_care_04,mfq,182,4.0714,1.1274,1.0000,5.0000,4.0000
mfq2_loyalty_02,mfq,181,2.2155,1.1269,1.0000,5.0000,4.0000
mfq2_authority_05,mfq,180,2.8500,1.1160,1.0000,5.0000,4.0000
mfq2_proportionality_02,mfq,180,3.7222,1.0988,1.0000,5.0000,4.0000
mfq2_equality_05,mfq,180,1.9444,1.0661,1.0000,5.0000,4.0000
mfq2_purity_05,mfq,181,1.8950,1.0567,1.0000,5.0000,4.0000
mfq2_proportionality_05,mfq,177,3.4463,1.0546,1.0000,5.0000,4.0000
extension_disagreement_openness,extension,175,4.0914,1.0354,1.0000,5.0000,4.0000
mirror_universalism_vs_particularism,mirror,171,3.5497,1.0184,1.0000,5.0000,4.0000
extension_user_deference,extension,177,2.5141,1.0063,1.0000,5.0000,4.0000
mfq2_authority_02,mfq,180,3.7167,1.0043,2.0000,5.0000,3.0000
mfq2_authority_03,mfq,181,2.7127,1.0029,1.0000,5.0000,4.0000
mfq2_care_02,mfq,182,4.2692,1.0022,1.0000,5.0000,4.0000
mfq2_proportionality_01,mfq,179,3.1229,0.9980,1.0000,5.0000,4.0000
mfq2_care_05,mfq,182,4.0495,0.9876,1.0000,5.0000,4.0000
mfq2_authority_01,mfq,538,3.8755,0.9809,1.0000,5.0000,4.0000
mfq2_purity_04,mfq,179,1.7933,0.9754,1.0000,5.0000,4.0000
mfq2_loyalty_04,mfq,178,2.5787,0.9549,1.0000,5.0000,4.0000
mirror_present_vs_future_orientation,mirror,178,3.7640,0.9510,1.0000,5.0000,4.0000
mfq2_authority_04,mfq,181,4.1547,0.9418,1.0000,5.0000,4.0000
mfq2_proportionality_04,mfq,180,4.3167,0.9244,1.0000,5.0000,4.0000
phil_free_will,philosophy,528,2.6515,0.8125,1.0000,5.0000,4.0000
mirror_harmony_vs_mastery,mirror,180,2.8278,0.7969,1.0000,5.0000,4.0000
mfq2_care_03,mfq,182,4.5879,0.7656,1.0000,5.0000,4.0000
mfq2_care_01,mfq,532,4.6504,0.7351,1.0000,5.0000,4.0000
mirror_individualism_vs_collectivism,mirror,528,2.9280,0.6794,1.0000,5.0000,4.0000
