axis_id,battery,outlier_model,outlier_region,mean_scale,consensus_mean,distance,consensus_sd,distance_in_sd
extension_disagreement_openness,extension,grok-4.20,US,4.9231,4.0875,0.8356,0.3944,2.1188
extension_user_deference,extension,gemini-2.5-pro,US,2.1538,2.5105,-0.3567,0.2629,-1.3570
mfq2_authority_01,mfq,claude-sonnet-4-6,US,2.8462,3.8773,-1.0311,0.3682,-2.8004
mfq2_authority_02,mfq,claude-sonnet-4-6,US,2.9167,3.7115,-0.7948,0.3694,-2.1517
mfq2_authority_03,mfq,claude-opus-4-7,US,2.2308,2.7129,-0.4821,0.2565,-1.8796
mfq2_authority_04,mfq,claude-sonnet-4-6,US,3.3846,4.1580,-0.7734,0.3339,-2.3158
mfq2_authority_05,mfq,claude-opus-4-7,US,2.1538,2.8489,-0.6951,0.3051,-2.2786
mfq2_authority_06,mfq,claude-sonnet-4-6,US,2.0000,2.7592,-0.7592,0.4503,-1.6859
mfq2_care_01,mfq,grok-4.20,US,4.1282,4.6549,-0.5267,0.2394,-2.2003
mfq2_care_02,mfq,claude-sonnet-4-6,US,3.0000,4.2692,-1.2692,0.4946,-2.5660
mfq2_care_03,mfq,grok-4.20,US,3.8462,4.5879,-0.7417,0.3286,-2.2574
mfq2_care_04,mfq,claude-sonnet-4-6,US,2.8462,4.0714,-1.2252,0.4186,-2.9272
mfq2_care_05,mfq,claude-sonnet-4-6,US,3.0769,4.0494,-0.9725,0.4611,-2.1090
mfq2_care_06,mfq,deepseek/deepseek-v4-pro,China,4.7692,3.8516,0.9176,0.5600,1.6385
mfq2_equality_01,mfq,grok-4.20,US,1.3421,2.1345,-0.7924,0.3230,-2.4531
mfq2_equality_02,mfq,grok-4.20,US,1.5385,2.3393,-0.8008,0.3351,-2.3898
mfq2_equality_03,mfq,grok-4.20,US,1.3077,2.1044,-0.7967,0.3272,-2.4349
mfq2_equality_04,mfq,grok-4.20,US,1.3846,2.3938,-1.0092,0.3824,-2.6391
mfq2_equality_05,mfq,grok-4.20,US,1.2308,1.9506,-0.7198,0.4203,-1.7125
mfq2_equality_06,mfq,grok-4.20,US,2.0769,3.3580,-1.2811,0.5408,-2.3689
mfq2_loyalty_01,mfq,claude-sonnet-4-6,US,2.3077,3.0046,-0.6969,0.3580,-1.9464
mfq2_loyalty_02,mfq,z-ai/glm-4.6,China,2.6923,2.2161,0.4762,0.2624,1.8148
mfq2_loyalty_03,mfq,claude-sonnet-4-6,US,2.3077,3.4597,-1.1520,0.3923,-2.9365
mfq2_loyalty_04,mfq,minimax-m2-7,China,3.0769,2.5792,0.4977,0.2617,1.9017
mfq2_loyalty_05,mfq,claude-sonnet-4-6,US,2.4615,3.3242,-0.8627,0.4348,-1.9839
mfq2_loyalty_06,mfq,claude-sonnet-4-6,US,2.3846,3.8013,-1.4167,0.4460,-3.1764
mfq2_proportionality_01,mfq,grok-4.20,US,3.8462,3.1209,0.7253,0.3051,2.3770
mfq2_proportionality_02,mfq,grok-4.20,US,4.7692,3.7230,1.0462,0.4264,2.4538
mfq2_proportionality_03,mfq,openai/gpt-oss-120b,US,4.3333,3.4849,0.8484,0.4100,2.0693
mfq2_proportionality_04,mfq,claude-sonnet-4-6,US,3.5385,4.3224,-0.7839,0.3375,-2.3226
mfq2_proportionality_05,mfq,claude-sonnet-4-6,US,2.6923,3.4455,-0.7532,0.3786,-1.9894
mfq2_proportionality_06,mfq,claude-sonnet-4-6,US,2.0833,2.7349,-0.6516,0.3678,-1.7717
mfq2_purity_01,mfq,claude-sonnet-4-6,US,2.6667,3.6827,-1.0160,0.4792,-2.1202
mfq2_purity_02,mfq,claude-sonnet-4-6,US,2.0769,3.1382,-1.0613,0.5102,-2.0801
mfq2_purity_03,mfq,claude-opus-4-7,US,1.8333,2.3782,-0.5449,0.2919,-1.8664
mfq2_purity_04,mfq,claude-opus-4-7,US,1.3846,1.7953,-0.4107,0.2256,-1.8207
mfq2_purity_05,mfq,claude-sonnet-4-6,US,1.1538,1.8970,-0.7432,0.3175,-2.3407
mfq2_purity_06,mfq,openai/gpt-oss-120b,US,2.8462,2.3471,0.4991,0.3015,1.6554
mirror_harmony_vs_mastery,mirror,grok-4.20,US,3.7692,2.8283,0.9409,0.3194,2.9460
mirror_individualism_vs_collectivism,mirror,grok-4.20,US,1.7500,2.9222,-1.1722,0.3724,-3.1479
mirror_present_vs_future_orientation,mirror,grok-4.20,US,4.3077,3.7619,0.5458,0.2510,2.1742
mirror_sacred_vs_instrumental_nature,mirror,claude-sonnet-4-6,US,3.3846,4.0192,-0.6346,0.3624,-1.7513
mirror_universalism_vs_particularism,mirror,grok-4.20,US,4.1667,3.5580,0.6087,0.2840,2.1435
phil_free_will,philosophy,claude-sonnet-4-6,US,2.3514,2.6498,-0.2984,0.1767,-1.6891
