model,foundation,mean,std,count
claude-opus-4-7,authority,2.9844,1.0615,64
claude-opus-4-7,care,4.2424,0.8424,66
claude-opus-4-7,equality,2.1515,1.0114,66
claude-opus-4-7,loyalty,2.8871,1.0418,62
claude-opus-4-7,proportionality,3.1587,1.0504,63
claude-opus-4-7,purity,2.3667,1.1640,60
claude-sonnet-4-6,authority,2.6875,0.9574,64
claude-sonnet-4-6,care,3.3692,1.0394,65
claude-sonnet-4-6,equality,2.0615,1.0588,65
claude-sonnet-4-6,loyalty,2.3710,0.9096,62
claude-sonnet-4-6,proportionality,3.0781,0.9969,64
claude-sonnet-4-6,purity,2.0517,0.9629,58
deepseek/deepseek-chat,authority,3.4375,1.0965,64
deepseek/deepseek-chat,care,4.5385,0.6633,65
deepseek/deepseek-chat,equality,2.5606,1.2905,66
deepseek/deepseek-chat,loyalty,3.2742,1.2697,62
deepseek/deepseek-chat,proportionality,3.5079,1.0757,63
deepseek/deepseek-chat,purity,2.8246,1.2410,57
gemini-2.5-pro,authority,3.4308,1.2987,65
gemini-2.5-pro,care,4.5758,0.8050,66
gemini-2.5-pro,equality,2.4615,1.3587,65
gemini-2.5-pro,loyalty,3.2979,1.3660,47
gemini-2.5-pro,proportionality,3.8276,1.0783,58
gemini-2.5-pro,purity,3.8750,1.1475,16
gpt-5.5-2026-04-23,authority,3.4921,1.1622,63
gpt-5.5-2026-04-23,care,4.4394,0.9787,66
gpt-5.5-2026-04-23,equality,2.5000,1.3950,66
gpt-5.5-2026-04-23,loyalty,3.3770,1.1714,61
gpt-5.5-2026-04-23,proportionality,3.3594,1.2519,64
gpt-5.5-2026-04-23,purity,2.5500,1.3952,60
grok-4.20,authority,3.5846,1.3216,65
grok-4.20,care,3.7424,1.2318,66
grok-4.20,equality,1.5692,1.1035,65
grok-4.20,loyalty,3.3175,1.2930,63
grok-4.20,proportionality,3.9844,1.2017,64
grok-4.20,purity,2.7414,1.4816,58
meta-llama/llama-4-scout-17b-16e-instruct,authority,3.2969,1.0937,64
meta-llama/llama-4-scout-17b-16e-instruct,care,4.1515,1.0413,66
meta-llama/llama-4-scout-17b-16e-instruct,equality,2.5909,1.1632,66
meta-llama/llama-4-scout-17b-16e-instruct,loyalty,2.8906,1.2230,64
meta-llama/llama-4-scout-17b-16e-instruct,proportionality,3.5692,1.1722,65
meta-llama/llama-4-scout-17b-16e-instruct,purity,2.4833,1.2002,60
minimax-m2-7,authority,3.3175,1.2421,63
minimax-m2-7,care,4.2727,1.0748,66
minimax-m2-7,equality,2.6212,1.0490,66
minimax-m2-7,loyalty,3.1270,1.2114,63
minimax-m2-7,proportionality,3.7419,1.0392,62
minimax-m2-7,purity,2.7288,1.2153,59
mistralai/mistral-large-2411,authority,3.4333,0.9977,60
mistralai/mistral-large-2411,care,4.1818,0.9099,66
mistralai/mistral-large-2411,equality,2.6000,1.2093,65
mistralai/mistral-large-2411,loyalty,3.3115,1.1767,61
mistralai/mistral-large-2411,proportionality,3.6349,0.9555,63
mistralai/mistral-large-2411,purity,2.8772,1.3238,57
openai/gpt-oss-120b,authority,3.5238,1.2029,63
openai/gpt-oss-120b,care,4.2879,1.0636,66
openai/gpt-oss-120b,equality,2.5455,1.2671,66
openai/gpt-oss-120b,loyalty,3.2698,1.3101,63
openai/gpt-oss-120b,proportionality,3.6769,1.2133,65
openai/gpt-oss-120b,purity,2.7931,1.3080,58
qwen/qwen3-32b,authority,3.3788,1.2249,66
qwen/qwen3-32b,care,4.3636,0.9221,66
qwen/qwen3-32b,equality,2.7727,1.3335,66
qwen/qwen3-32b,loyalty,3.1250,1.2408,64
qwen/qwen3-32b,proportionality,3.5397,0.9972,63
qwen/qwen3-32b,purity,2.6207,1.2115,58
z-ai/glm-4.6,authority,3.4355,1.2495,62
z-ai/glm-4.6,care,4.5000,0.7894,66
z-ai/glm-4.6,equality,2.9394,1.4129,66
z-ai/glm-4.6,loyalty,3.3065,1.2091,62
z-ai/glm-4.6,proportionality,3.6984,1.0722,63
z-ai/glm-4.6,purity,3.0000,1.4397,56
