model,axis_id,rerun0_mean,rerun0_n,rerun1_mean,rerun1_n,rerun2_mean,rerun2_n,across_rerun_mean,across_rerun_sd,across_rerun_range
claude-opus-4-7,mfq2_authority_01,3.2727,11,3.4000,10,3.2000,10,3.2909,0.1012,0.2000
claude-opus-4-7,mfq2_care_01,4.4545,11,4.4000,10,4.5000,10,4.4515,0.0501,0.1000
claude-opus-4-7,mfq2_equality_01,1.7273,11,2.1000,10,1.9000,10,1.9091,0.1865,0.3727
claude-opus-4-7,mirror_individualism_vs_collectivism,2.6364,11,2.8000,10,2.7500,8,2.7288,0.0839,0.1636
claude-opus-4-7,phil_free_will,2.6000,10,2.5556,9,2.6667,9,2.6074,0.0559,0.1111
claude-sonnet-4-6,mfq2_authority_01,2.8182,11,3.0000,10,2.8000,10,2.8727,0.1106,0.2000
claude-sonnet-4-6,mfq2_care_01,4.1818,11,3.9000,10,4.3333,9,4.1384,0.2199,0.4333
claude-sonnet-4-6,mfq2_equality_01,1.7273,11,2.1000,10,2.1111,9,1.9795,0.2185,0.3838
claude-sonnet-4-6,mirror_individualism_vs_collectivism,2.8182,11,2.8000,10,2.8000,10,2.8061,0.0105,0.0182
claude-sonnet-4-6,phil_free_will,2.6364,11,2.3000,10,2.3000,10,2.4121,0.1942,0.3364
deepseek/deepseek-chat,mfq2_authority_01,4.0000,11,3.9000,10,4.1000,10,4.0000,0.1000,0.2000
deepseek/deepseek-chat,mfq2_care_01,4.8182,11,4.8000,10,4.5000,10,4.7061,0.1787,0.3182
deepseek/deepseek-chat,mfq2_equality_01,2.0000,11,2.4000,10,3.0000,10,2.4667,0.5033,1.0000
deepseek/deepseek-chat,mirror_individualism_vs_collectivism,2.9091,11,3.2000,10,3.1000,10,3.0697,0.1478,0.2909
deepseek/deepseek-chat,phil_free_will,2.5000,10,2.9000,10,2.7000,10,2.7000,0.2000,0.4000
gpt-5.5-2026-04-23,mfq2_authority_01,4.1818,11,4.1000,10,4.0000,10,4.0939,0.0911,0.1818
gpt-5.5-2026-04-23,mfq2_care_01,4.5455,11,4.6000,10,4.9000,10,4.6818,0.1909,0.3545
gpt-5.5-2026-04-23,mfq2_equality_01,1.9091,11,2.4000,10,2.6000,10,2.3030,0.3555,0.6909
gpt-5.5-2026-04-23,mirror_individualism_vs_collectivism,3.2727,11,3.2000,10,2.9000,10,3.1242,0.1976,0.3727
gpt-5.5-2026-04-23,phil_free_will,2.9091,11,2.6000,10,2.7000,10,2.7364,0.1577,0.3091
grok-4.20,mfq2_authority_01,4.2727,11,4.1000,10,3.9000,10,4.0909,0.1865,0.3727
grok-4.20,mfq2_care_01,4.0909,11,4.1000,10,4.4000,10,4.1970,0.1759,0.3091
