nation,care_mean,care_sd,equality_mean,equality_sd,proportionality_mean,proportionality_sd,loyalty_mean,loyalty_sd,authority_mean,authority_sd,purity_mean,purity_sd
Argentina,3.84,0.77,2.81,1.01,3.91,0.66,3.58,0.82,3.67,0.73,2.60,0.82
Belgium,3.91,0.73,3.20,0.94,3.91,0.56,3.62,0.77,3.70,0.64,3.01,0.74
Chile,3.77,0.82,2.77,0.88,3.70,0.69,3.45,0.88,3.67,0.81,2.54,0.85
Colombia,3.83,0.71,2.91,0.90,3.69,0.68,3.67,0.82,3.84,0.68,2.98,0.86
Egypt,4.38,0.60,3.56,0.94,4.37,0.58,4.42,0.62,4.18,0.68,4.19,0.63
France,4.08,0.68,3.23,0.92,4.12,0.54,3.86,0.74,3.88,0.62,3.09,0.74
Ireland,4.01,0.79,2.94,0.93,3.73,0.77,3.29,0.98,3.49,0.91,2.51,0.93
Japan,3.03,0.77,2.27,0.78,3.14,0.73,2.66,0.82,2.67,0.66,2.63,0.69
Kenya,4.20,0.77,2.88,0.97,3.78,0.79,3.95,0.90,4.07,0.80,3.58,0.83
Mexico,3.77,0.79,2.87,0.91,3.80,0.70,3.78,0.75,3.94,0.67,2.81,0.81
Morocco,4.21,0.78,3.36,0.97,4.18,0.71,4.16,0.82,3.95,0.76,3.93,0.73
"New Zealand",3.84,0.78,2.61,1.02,3.61,0.71,3.22,1.00,3.48,0.87,2.58,0.98
Nigeria,4.32,0.64,2.90,1.03,4.14,0.67,4.11,0.74,4.21,0.61,3.80,0.77
Peru,3.62,0.73,2.63,0.92,3.75,0.69,3.73,0.76,3.81,0.69,3.00,0.82
Russia,3.96,0.75,3.24,0.87,4.27,0.48,3.87,0.81,3.68,0.76,3.25,0.80
"Saudi Arabia",4.24,0.75,3.32,0.93,4.18,0.69,4.20,0.78,4.07,0.73,3.98,0.72
"South Africa",4.21,0.69,3.01,0.92,4.03,0.64,3.85,0.86,4.00,0.73,3.40,0.94
Switzerland,3.95,0.68,3.27,0.98,3.84,0.64,3.58,0.85,3.52,0.81,2.95,0.79
UAE,4.01,0.92,3.28,0.93,3.96,0.89,4.02,0.91,3.91,0.89,3.74,0.85
